id;guid;plate;anpr;rfid;data_status;gantry;kph;ambush;direction;vehicle;issue;status;handled_by;gantry_processed;gantry_sent;jhi_when;toll;rule_rcvd;wanted_for;fine;license_issue;wanted_by;rule_processed;speed_fine;lane;tag_issue;status_name;license_fine;stolen;wanted;rule_sent;handled;rule_issue
1;Bacon withdrawal Metrics;deposit front-end;transmitter deposit override;Rustic invoice HDD;Car;17022;92111;50319;17900;19689;Strategist Chad static;Global Cambridgeshire fault-tolerant;26530;99785;70880;19091;42683;35886;green Associate;49279;transmitting;37943;39822;94999;8270;lavender;EXE Syrian;48320;31932;true;6629;99724;generate withdrawal
2;optical Steel Camp;Loan;protocol static Accounts;Internal Colombian;Ergonomic;23406;40243;51997;51004;85649;Wooden;pink Account Forest;33864;68227;22736;97795;94290;74071;parsing Soap;8919;Plastic connect Account;40837;1831;36570;36710;Frozen bricks-and-clicks;Sausages Alabama;82834;75181;false;76492;64441;up Soft incentivize
3;Fresh bluetooth;Liaison calculate;standardization override solid;bleeding-edge SMTP Investor;Kwanza;85718;70577;58798;87462;52084;didactic payment;intuitive;76100;71586;52514;7908;66462;88499;Electronics rich;42374;compressing;14438;94156;1624;17202;Bedfordshire;Unbranded;90370;34262;true;61217;20175;parsing
4;Table Electronics navigating;Fantastic cyan orange;backing needs-based;Fantastic Bond;website Bedfordshire Computers;23177;27359;70314;64862;70416;Borders Automotive;maximize;35364;16051;7008;39977;13494;524;Garden invoice;1042;synthesize Small Intelligent;93768;32443;65314;47691;visualize;Small application;48535;85396;false;58974;62461;users haptic mobile
5;synthesize Kentucky;Home non-volatile Future;Checking Pizza;Account;Strategist Fresh Re-contextualized;18072;82703;86424;82169;78822;Netherlands;Orchestrator efficient;2770;21105;81598;25345;91361;13881;Car Handmade;52778;Steel;21836;49661;85771;27102;synthesizing connecting;Neck program;31030;72444;false;69451;88900;logistical
6;Markets enable;client-server bandwidth;backing;Ergonomic;mint;65275;15118;32434;5726;3325;back Montana overriding;Intelligent withdrawal;29373;780;32389;33254;83872;94821;primary reboot;43648;Inlet capacity;9248;45056;90317;38541;Generic alarm Soft;Shoes technologies;13173;48125;true;20414;68820;composite Georgia
7;Islands;Licensed invoice hack;Finland Upgradable tan;orchid e-enable;Car;9572;3658;83876;26761;28179;parse;Nebraska;39736;17754;82444;83272;99801;82953;transmitter Licensed Kansas;24717;synergies Corporate;34259;71964;14334;76575;value-added Berkshire;Nevada;13380;26566;true;24785;81972;hacking
8;Jewelery Global;Som;Checking;Gloves cross-platform Orchestrator;Designer Credit;9431;28801;48463;4572;33687;Balanced British;Fresh;67582;60990;38414;68197;43503;11243;Synergized;80567;Buckinghamshire;90273;93836;50884;86314;driver;Samoa;17611;60706;true;20361;16927;National Motorway synergistic
9;executive Granite;whiteboard;Implementation;Refined solution invoice;Massachusetts;92575;45776;21166;10588;61575;Handmade Tools;hacking red;31487;36716;70090;77056;83680;12709;systems;5653;Handmade Engineer;81340;60753;59895;45267;multi-byte CSS;Industrial Technician;22663;74184;false;93932;65944;Republic
10;Legacy;Serbian index applications;Facilitator partnerships;attitude-oriented Consultant;payment flexibility calculating;16348;94085;41379;70761;38089;Marketing;envisioneer Soft Unbranded;334;67462;46370;1732;83960;82589;Burg;30484;index;46275;72546;86697;6466;capacitor;capacitor;49004;28669;false;8288;37115;payment withdrawal Games
